createdAt,orderCode,paidOnline,postcode,price
"Thu, 10 Sep 2020 20:30:00 GMT",UAHY2U,1,13581,16.9
"Thu, 10 Sep 2020 20:27:00 GMT",XRZ43K,1,13591,25.2
"Thu, 10 Sep 2020 20:15:00 GMT",5AFGK4,1,13585,50.3
"Thu, 10 Sep 2020 20:11:00 GMT",V7317G,0,13581,16.4
"Thu, 10 Sep 2020 19:59:00 GMT",UJ5XNV,1,13599,20.8
"Thu, 10 Sep 2020 19:54:00 GMT",5OW9E4,0,13583,29.6
"Thu, 10 Sep 2020 19:54:00 GMT",GCNGAX,1,13583,19.4
"Thu, 10 Sep 2020 19:45:00 GMT",ZSNLXY,0,13587,20.2
"Thu, 10 Sep 2020 19:38:00 GMT",OOL1WD,0,13593,23.1
"Thu, 10 Sep 2020 19:37:00 GMT",68IK9R,1,13585,30.6
"Thu, 10 Sep 2020 19:30:00 GMT",FNAEH0,1,13591,19.8
"Thu, 10 Sep 2020 19:29:00 GMT",I3RE49,1,13587,47.7
"Thu, 10 Sep 2020 19:29:00 GMT",MJZMXZ,1,13599,20.2
"Thu, 10 Sep 2020 19:24:00 GMT",AMO2GM,1,13585,28.4
"Thu, 10 Sep 2020 18:52:00 GMT",PTC266,1,13593,15.9
"Thu, 10 Sep 2020 18:43:00 GMT",AKJUZG,1,13591,30
"Thu, 10 Sep 2020 18:35:00 GMT",YYUVQF,1,13587,19.4
"Thu, 10 Sep 2020 18:33:00 GMT",S0LXJ8,1,13585,16.5
"Thu, 10 Sep 2020 18:32:00 GMT",N500CF,0,13599,24
"Thu, 10 Sep 2020 17:58:00 GMT",WUC0IR,0,13593,49.3
"Thu, 10 Sep 2020 17:50:00 GMT",CRWGDH,1,13599,29.5
"Thu, 10 Sep 2020 17:49:00 GMT",5XCV0V,1,13589,19
"Thu, 10 Sep 2020 17:43:00 GMT",24RDAW,0,13595,20.7
"Thu, 10 Sep 2020 17:27:00 GMT",PTGGOS,1,13581,32.3
"Thu, 10 Sep 2020 17:25:00 GMT",PZPSXG,1,13591,19.9
"Thu, 10 Sep 2020 17:23:00 GMT",QE3QDY,1,13589,20.5
"Thu, 10 Sep 2020 17:19:00 GMT",Q8A2F3,0,13583,18.1
"Thu, 10 Sep 2020 17:01:00 GMT",AQ9SJR,0,13593,16.4
"Thu, 10 Sep 2020 16:53:00 GMT",E5NCOC,1,13581,22.5
"Thu, 10 Sep 2020 16:51:00 GMT",ALFPXT,0,13595,22.4
"Thu, 10 Sep 2020 15:48:00 GMT",SO08HD,0,13599,49.7
"Thu, 10 Sep 2020 15:44:00 GMT",VGH95Q,1,13593,22
"Thu, 10 Sep 2020 14:54:00 GMT",A5D7EE,1,13587,30.4
"Thu, 10 Sep 2020 14:34:00 GMT",9SAZZA,1,13583,24.9
"Thu, 10 Sep 2020 14:24:00 GMT",NIKK9B,1,13593,29
"Thu, 10 Sep 2020 14:04:00 GMT",U9N61A,1,13599,38
"Thu, 10 Sep 2020 14:03:00 GMT",JBXDRK,1,13591,30.9
"Thu, 10 Sep 2020 13:18:00 GMT",MNRYNC,1,13593,19.2
"Thu, 10 Sep 2020 12:53:00 GMT",M20FS3,1,13593,26.6
"Thu, 10 Sep 2020 12:52:00 GMT",X7WR2J,1,13583,26
"Thu, 10 Sep 2020 12:23:00 GMT",ALSM73,1,13585,19
"Thu, 10 Sep 2020 12:13:00 GMT",9FKR3V,1,13589,28.7
"Thu, 10 Sep 2020 11:45:00 GMT",BB2D9Z,0,13599,30.8
"Thu, 10 Sep 2020 09:20:00 GMT",59LRN4,0,13593,15.5
